2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":662000,"v":1,"marker":"data-bit","byteIndex":2,"bitIndex":7,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":672000,"v":0,"marker":"ack-bit","byteIndex":2,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":682000,"v":1,"marker":"ack-release","byteIndex":2,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":682000,"v":0,"marker":"data-bit","byteIndex":3,"bitIndex":0,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":692000,"v":1,"marker":"data-bit","byteIndex":3,"bitIndex":1,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":702000,"v":0,"marker":"data-bit","byteIndex":3,"bitIndex":2,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":712000,"v":0,"marker":"data-bit","byteIndex":3,"bitIndex":3,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":722000,"v":0,"marker":"data-bit","byteIndex":3,"bitIndex":4,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":732000,"v":0,"marker":"data-bit","byteIndex":3,"bitIndex":5,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":742000,"v":0,"marker":"data-bit","byteIndex":3,"bitIndex":6,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":752000,"v":0,"marker":"data-bit","byteIndex":3,"bitIndex":7,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":762000,"v":0,"marker":"ack-bit","byteIndex":3,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":772000,"v":1,"marker":"ack-release","byteIndex":3,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":772000,"v":0,"marker":"data-bit","byteIndex":4,"bitIndex":0,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":782000,"v":1,"marker":"data-bit","byteIndex":4,"bitIndex":1,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":792000,"v":0,"marker":"data-bit","byteIndex":4,"bitIndex":2,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":802000,"v":1,"marker":"data-bit","byteIndex":4,"bitIndex":3,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":812000,"v":1,"marker":"data-bit","byteIndex":4,"bitIndex":4,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":822000,"v":0,"marker":"data-bit","byteIndex":4,"bitIndex":5,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":832000,"v":0,"marker":"data-bit","byteIndex":4,"bitIndex":6,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":842000,"v":1,"marker":"data-bit","byteIndex":4,"bitIndex":7,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":852000,"v":0,"marker":"ack-bit","byteIndex":4,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":862000,"v":1,"marker":"ack-release","byteIndex":4,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":862000,"v":0,"marker":"data-bit","byteIndex":5,"bitIndex":0,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":872000,"v":1,"marker":"data-bit","byteIndex":5,"bitIndex":1,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":882000,"v":0,"marker":"data-bit","byteIndex":5,"bitIndex":2,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":892000,"v":1,"marker":"data-bit","byteIndex":5,"bitIndex":3,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":902000,"v":1,"marker":"data-bit","byteIndex":5,"bitIndex":4,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":912000,"v":0,"marker":"data-bit","byteIndex":5,"bitIndex":5,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":922000,"v":1,"marker":"data-bit","byteIndex":5,"bitIndex":6,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":932000,"v":0,"marker":"data-bit","byteIndex":5,"bitIndex":7,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":942000,"v":0,"marker":"ack-bit","byteIndex":5,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":952000,"v":1,"marker":"ack-release","byteIndex":5,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":956000,"v":1,"marker":"stop"}
